year,date,cpi_new_vehicles,cpi_all_items
1979,1979-12-01,84.7,76.9
1980,1980-01-01,85.8,78
1980,1980-02-01,86.5,79
1980,1980-03-01,86.4,80.1
1980,1980-04-01,87.3,80.9
1980,1980-05-01,88.3,81.7
1980,1980-06-01,88.1,82.5
1980,1980-07-01,88.4,82.6
1980,1980-08-01,89.4,83.2
1980,1980-09-01,89.7,83.9
1980,1980-10-01,89.8,84.7
1980,1980-11-01,90.9,85.6
1980,1980-12-01,91,86.4
1981,1981-01-01,91.4,87.2
1981,1981-02-01,91.2,88
1981,1981-03-01,90.3,88.6
1981,1981-04-01,91.8,89.1
1981,1981-05-01,94.2,89.7
1981,1981-06-01,94.8,90.5
1981,1981-07-01,95,91.5
1981,1981-08-01,94.7,92.2
1981,1981-09-01,94.4,93.1
1981,1981-10-01,95,93.4
1981,1981-11-01,96.4,93.8
1981,1981-12-01,97.2,94.1
1982,1982-01-01,97.4,94.4
1982,1982-02-01,96.5,94.7
1982,1982-03-01,95.9,94.7
1982,1982-04-01,96.7,95
1982,1982-05-01,97.5,95.9
1982,1982-06-01,97.8,97
1982,1982-07-01,98,97.5
1982,1982-08-01,98.1,97.7
1982,1982-09-01,97.6,97.7
1982,1982-10-01,97.5,98.1
1982,1982-11-01,98.1,98
1982,1982-12-01,98.6,97.7
1983,1983-01-01,99.1,97.9
1983,1983-02-01,99.3,98
1983,1983-03-01,99.2,98.1
1983,1983-04-01,99.2,98.8
1983,1983-05-01,99.4,99.2
1983,1983-06-01,99.4,99.4
1983,1983-07-01,99.3,99.8
1983,1983-08-01,99.7,100.1
1983,1983-09-01,99.9,100.4
1983,1983-10-01,100.6,100.8
1983,1983-11-01,101.5,101.1
1983,1983-12-01,101.9,101.4
1984,1984-01-01,102,102.1
1984,1984-02-01,102,102.6
1984,1984-03-01,102,102.9
1984,1984-04-01,102.1,103.3
1984,1984-05-01,102.2,103.5
1984,1984-06-01,102.3,103.7
1984,1984-07-01,102.4,104.1
1984,1984-08-01,102.4,104.4
1984,1984-09-01,102.5,104.7
1984,1984-10-01,103.2,105.1
1984,1984-11-01,104.1,105.3
1984,1984-12-01,104.4,105.5
1985,1985-01-01,105,105.7
1985,1985-02-01,105.4,106.3
1985,1985-03-01,105.5,106.8
1985,1985-04-01,105.6,107
1985,1985-05-01,105.7,107.2
1985,1985-06-01,105.8,107.5
1985,1985-07-01,105.8,107.7
1985,1985-08-01,105.7,107.9
1985,1985-09-01,105.7,108.1
1985,1985-10-01,106.5,108.5
1985,1985-11-01,107.7,109
1985,1985-12-01,108.2,109.5
1986,1986-01-01,108.4,109.9
1986,1986-02-01,108.7,109.7
1986,1986-03-01,108.6,109.1
1986,1986-04-01,109.1,108.7
1986,1986-05-01,109.9,109
1986,1986-06-01,110.5,109.4
1986,1986-07-01,110.8,109.5
1986,1986-08-01,110.8,109.6
1986,1986-09-01,110.6,110
1986,1986-10-01,111.9,110.2
1986,1986-11-01,113.6,110.4
1986,1986-12-01,114.3,110.8
1987,1987-01-01,114.7,111.4
1987,1987-02-01,113.5,111.8
1987,1987-03-01,113.1,112.2
1987,1987-04-01,113.5,112.7
1987,1987-05-01,113.8,113
1987,1987-06-01,114.1,113.5
1987,1987-07-01,114.4,113.8
1987,1987-08-01,114,114.3
1987,1987-09-01,113.8,114.7
1987,1987-10-01,115,115
1987,1987-11-01,116.3,115.4
1987,1987-12-01,116.4,115.6
1988,1988-01-01,116.1,116
1988,1988-02-01,116,116.2
1988,1988-03-01,115.7,116.5
1988,1988-04-01,115.6,117.2
1988,1988-05-01,115.9,117.5
1988,1988-06-01,116.1,118
1988,1988-07-01,116.1,118.5
1988,1988-08-01,115.9,119
1988,1988-09-01,116.2,119.5
1988,1988-10-01,117.2,119.9
1988,1988-11-01,118.4,120.3
1988,1988-12-01,119,120.7
1989,1989-01-01,119.4,121.2
1989,1989-02-01,119.5,121.6
1989,1989-03-01,119.4,122.2
1989,1989-04-01,119.2,123.1
1989,1989-05-01,119.2,123.7
1989,1989-06-01,118.9,124.1
1989,1989-07-01,118.5,124.5
1989,1989-08-01,117.7,124.5
1989,1989-09-01,117.1,124.8
1989,1989-10-01,118.5,125.4
1989,1989-11-01,120.6,125.9
1989,1989-12-01,121.9,126.3
1990,1990-01-01,122.4,127.5
1990,1990-02-01,122.2,128
1990,1990-03-01,121.6,128.6
1990,1990-04-01,121.1,128.9
1990,1990-05-01,121,129.1
1990,1990-06-01,120.6,129.9
1990,1990-07-01,120.2,130.5
1990,1990-08-01,119.9,131.6
1990,1990-09-01,119.6,132.5
1990,1990-10-01,121.1,133.4
1990,1990-11-01,122.8,133.7
1990,1990-12-01,124.3,134.2
1991,1991-01-01,125.3,134.7
1991,1991-02-01,125.9,134.8
1991,1991-03-01,126.1,134.8
1991,1991-04-01,125.9,135.1
1991,1991-05-01,125.9,135.6
1991,1991-06-01,125.8,136
1991,1991-07-01,125.6,136.2
1991,1991-08-01,125.1,136.6
1991,1991-09-01,124.8,137
1991,1991-10-01,125.8,137.2
1991,1991-11-01,127.3,137.8
1991,1991-12-01,128.3,138.2
1992,1992-01-01,128.7,138.3
1992,1992-02-01,128.9,138.6
1992,1992-03-01,129.1,139.1
1992,1992-04-01,129.1,139.4
1992,1992-05-01,129.2,139.7
1992,1992-06-01,129.1,140.1
1992,1992-07-01,128.6,140.5
1992,1992-08-01,128.5,140.8
1992,1992-09-01,128.3,141.1
1992,1992-10-01,129.1,141.7
1992,1992-11-01,130.6,142.1
1992,1992-12-01,131.3,142.3
1993,1993-01-01,131.8,142.8
1993,1993-02-01,132,143.1
1993,1993-03-01,132,143.3
1993,1993-04-01,132.2,143.8
1993,1993-05-01,132.4,144.2
1993,1993-06-01,132.2,144.3
1993,1993-07-01,132.2,144.5
1993,1993-08-01,132.2,144.8
1993,1993-09-01,132.1,145
1993,1993-10-01,133.4,145.6
1993,1993-11-01,134.8,146
